freqs,channel,p1,chi2
0.0,0,0.0472,1.4529
0.0,1,0.1355,1.069
0.0,2,0.112,0.8213
0.0,3,0.1412,0.623
0.0,4,0.074,1.2758
0.0,5,0.0185,2.1724
0.0,6,0.0346,2.1588
0.0,7,0.0481,1.6052
0.0,8,0.1019,0.9951
0.0,9,0.0177,2.3235
0.0,10,0.0247,1.9086
0.0,11,0.0263,2.2269
0.0,12,0.0601,1.3939
0.0,13,0.0174,2.2011
0.0,14,0.0236,2.034
0.0,15,0.0575,1.5679
1.9531,0,0.0851,0.2892
1.9531,1,0.0729,0.4166
1.9531,2,0.0884,0.246
1.9531,3,0.5221,1.7993
1.9531,4,0.4118,1.9039
1.9531,5,0.0761,0.4079
1.9531,6,0.0855,0.2994
1.9531,7,0.0891,0.2589
1.9531,8,0.8174,1.2182
1.9531,9,0.0864,0.7703
1.9531,10,0.0736,0.4445
1.9531,11,0.0838,0.3411
1.9531,12,0.0889,0.2541
1.9531,13,0.0723,0.4565
1.9531,14,0.185,2.5289
1.9531,15,0.0883,0.2269
3.9062,0,0.4866,1.7301
3.9062,1,0.0791,0.3414
3.9062,2,0.0877,0.1991
3.9062,3,0.6299,1.5479
3.9062,4,0.6232,1.58
3.9062,5,0.0847,0.271
3.9062,6,0.0883,0.2115
3.9062,7,0.608,1.5683
3.9062,8,1.0368,0.9238
3.9062,9,0.0807,0.3339
3.9062,10,0.0821,0.306
3.9062,11,0.0861,0.219
3.9062,12,0.5601,1.6662
3.9062,13,0.0821,0.3125
3.9062,14,0.0832,0.2767
3.9062,15,0.6334,1.5417
5.8594,0,0.5353,1.7503
5.8594,1,0.0818,0.317
5.8594,2,0.4806,1.8179
5.8594,3,0.9736,1.0185
5.8594,4,0.9409,0.9829
5.8594,5,0.085,0.2627
5.8594,6,0.496,1.7857
5.8594,7,0.9652,1.018
5.8594,8,0.9457,0.8747
5.8594,9,0.0829,0.2913
5.8594,10,0.0842,0.2783
5.8594,11,0.0854,0.2098
5.8594,12,0.9254,1.1043
5.8594,13,0.0849,0.2743
5.8594,14,0.3258,2.1575
5.8594,15,0.9757,1.0014
7.8125,0,0.8376,1.1785
7.8125,1,0.045,1.0338
7.8125,2,0.4591,1.8922
7.8125,3,0.8384,1.045
7.8125,4,0.7877,0.9479
7.8125,5,0.0852,0.2686
7.8125,6,0.4868,1.8287
7.8125,7,0.8608,1.0551
7.8125,8,0.7508,0.8758
7.8125,9,0.0826,0.2931
7.8125,10,0.0843,0.2909
7.8125,11,0.0905,0.2034
7.8125,12,0.7805,1.0791
7.8125,13,0.0836,0.2892
7.8125,14,0.3028,2.3038
7.8125,15,0.8109,1.0148
9.7656,0,0.8895,1.118
9.7656,1,0.0796,0.3561
9.7656,2,0.4687,1.778
9.7656,3,0.9052,1.0875
9.7656,4,0.8724,0.9028
9.7656,5,0.0841,0.2733
9.7656,6,0.4522,1.7823
9.7656,7,0.9177,1.0682
9.7656,8,0.8306,0.8621
9.7656,9,0.0832,0.3094
9.7656,10,0.0853,0.2776
9.7656,11,0.089,0.2181
9.7656,12,0.8444,1.022
9.7656,13,0.0849,0.2652
9.7656,14,0.0866,0.2696
9.7656,15,0.8991,1.0422
11.7188,0,0.9229,1.0705
11.7188,1,0.1545,0.8375
11.7188,2,0.4539,1.8187
11.7188,3,0.9483,1.1125
11.7188,4,0.9054,0.8485
11.7188,5,0.0859,0.2577
11.7188,6,0.508,1.8282
11.7188,7,0.9685,1.0768
11.7188,8,0.8894,0.8706
11.7188,9,0.0823,0.2969
11.7188,10,0.0846,0.2894
11.7188,11,0.0878,0.208
11.7188,12,0.9255,1.0346
11.7188,13,0.3062,2.373
11.7188,14,0.0869,0.2481
11.7188,15,0.9273,1.0708
13.6719,0,0.8704,1.0146
13.6719,1,0.0793,0.3436
13.6719,2,0.473,1.888
