freqs,channel,p1,chi2
0.0,0,0.0878,83.6258
0.0,1,0.046,155.0485
0.0,2,0.0587,166.6838
0.0,3,1.4457,269.1445
0.0,4,0.1874,170.926
0.0,5,0.1407,155.6224
0.0,6,0.0671,133.7914
0.0,7,2.1838,202.1168
0.0,8,0.051,172.3374
0.0,9,0.0303,167.0769
0.0,10,0.0483,170.3174
0.0,11,0.6033,268.9388
0.0,12,0.0527,169.5323
0.0,13,0.0431,173.783
0.0,14,0.0552,164.7531
0.0,15,0.579,254.5774
1.9531,0,0.1916,42.5353
1.9531,1,0.1355,32.8755
1.9531,2,0.1477,20.8668
1.9531,3,5.7273,469.364
1.9531,4,0.218,10.5485
1.9531,5,0.1567,15.0024
1.9531,6,0.0998,79.9996
1.9531,7,5.0538,235.7639
1.9531,8,0.1232,60.2229
1.9531,9,0.0742,210.7212
1.9531,10,0.089,44.8
1.9531,11,3.4988,342.6822
1.9531,12,0.123,73.8338
1.9531,13,0.0831,79.3928
1.9531,14,0.0865,40.5006
1.9531,15,3.7094,346.5212
3.9062,0,0.2993,41.9344
3.9062,1,0.2156,31.2
3.9062,2,0.226,21.4235
3.9062,3,9.141,514.2956
3.9062,4,0.2694,41.4512
3.9062,5,0.1832,60.4958
3.9062,6,0.14,116.8869
3.9062,7,7.9214,320.4359
3.9062,8,0.2032,80.1495
3.9062,9,0.1214,281.8888
3.9062,10,0.1409,82.8566
3.9062,11,6.1019,327.5791
3.9062,12,0.2013,107.0668
3.9062,13,0.1314,124.4193
3.9062,14,0.1294,87.6259
3.9062,15,6.4232,318.7796
5.8594,0,0.3372,15.8197
5.8594,1,0.2362,43.2819
5.8594,2,0.2403,11.2192
5.8594,3,9.81,415.3616
5.8594,4,0.2966,31.8647
5.8594,5,0.1946,82.1695
5.8594,6,0.1516,144.0972
5.8594,7,8.7199,253.7364
5.8594,8,0.2447,46.2912
5.8594,9,0.1438,312.1911
5.8594,10,0.1701,57.512
5.8594,11,7.364,265.6065
5.8594,12,0.2417,73.5214
5.8594,13,0.1555,107.5759
5.8594,14,0.1524,71.3846
5.8594,15,7.672,245.3706
7.8125,0,0.3269,14.9859
7.8125,1,0.2174,22.0416
7.8125,2,0.2252,12.7997
7.8125,3,8.4578,290.1447
7.8125,4,0.2933,22.7684
7.8125,5,0.1907,42.4166
7.8125,6,0.1408,76.2087
7.8125,7,7.9287,179.0201
7.8125,8,0.2528,35.8911
7.8125,9,0.1433,215.881
7.8125,10,0.1754,31.7224
7.8125,11,7.1797,183.7347
7.8125,12,0.2463,56.0755
7.8125,13,0.155,67.4691
7.8125,14,0.1542,43.6752
7.8125,15,7.4092,173.7442
9.7656,0,0.3211,5.9992
9.7656,1,0.2104,7.3962
9.7656,2,0.2314,1.8849
9.7656,3,6.788,180.8411
9.7656,4,0.2825,11.2011
9.7656,5,0.1866,11.253
9.7656,6,0.1318,16.1884
9.7656,7,6.7804,119.4908
9.7656,8,0.2435,28.4535
9.7656,9,0.1332,66.7873
9.7656,10,0.1682,15.7434
9.7656,11,6.3109,120.6282
9.7656,12,0.2351,46.5736
9.7656,13,0.1432,27.4829
9.7656,14,0.1454,20.9598
9.7656,15,6.6591,140.8124
11.7188,0,0.3374,6.0954
11.7188,1,0.2263,10.7717
11.7188,2,0.246,1.0135
11.7188,3,6.5069,169.3564
11.7188,4,0.2867,7.204
11.7188,5,0.1892,1.9252
11.7188,6,0.1375,4.7111
11.7188,7,6.5232,103.898
11.7188,8,0.2399,18.5081
11.7188,9,0.1256,17.1168
11.7188,10,0.1619,8.0718
11.7188,11,5.6658,92.4205
11.7188,12,0.2302,33.7405
11.7188,13,0.1358,13.0008
11.7188,14,0.1387,9.4231
11.7188,15,5.987,114.1526
13.6719,0,0.3465,4.1505
13.6719,1,0.2285,21.6995
13.6719,2,0.2341,1.1262
13.6719,3,6.5441,165.9799
13.6719,4,0.2972,6.1276
13.6719,5,0.1886,1.9969
13.6719,6,0.139,6.8134
13.6719,7,6.824,113.537
13.6719,8,0.243,16.8798
13.6719,9,0.1198,13.2054
13.6719,10,0.1597,7.1762
13.6719,11,5.8073,101.2837
13.6719,12,0.2318,30.7923
13.6719,13,0.1337,11.8679
13.6719,14,0.137,8.8755
13.6719,15,5.9862,110.5301
15.625,0,0.3372,6.4304
15.625,1,0.2047,1.5458
15.625,2,0.2106,2.4255
15.625,3,5.9868,134.4006
15.625,4,0.2948,8.0135
15.625,5,0.179,3.3254
15.625,6,0.1271,7.302
15.625,7,6.6571,108.2975
15.625,8,0.2432,14.4253
15.625,9,0.112,18.0267
15.625,10,0.1577,6.8361
15.625,11,6.0716,117.8352
15.625,12,0.2305,27.9471
15.625,13,0.1304,12.1291
15.625,14,0.1348,9.238
15.625,15,5.9299,107.0808
17.5781,0,0.3315,4.4604
17.5781,1,0.186,2.2913
17.5781,2,0.2118,1.2518
17.5781,3,5.5684,118.5501
17.5781,4,0.2835,6.2453
17.5781,5,0.1683,2.4813
17.5781,6,0.1151,5.9061
17.5781,7,6.0108,89.6107
17.5781,8,0.2414,15.5748
17.5781,9,0.1114,16.8952
17.5781,10,0.1564,4.6511
17.5781,11,6.0887,114.2039
17.5781,12,0.2259,26.7969
17.5781,13,0.1278,9.8897
17.5781,14,0.1318,7.0262
17.5781,15,5.8703,112.3346
19.5312,0,0.3449,4.8626
19.5312,1,0.209,8.208
19.5312,2,0.2243,1.3074
19.5312,3,6.0917,133.8217
19.5312,4,0.2923,5.4432
19.5312,5,0.1705,1.17
19.5312,6,0.1219,1.3293
19.5312,7,5.953,97.6462
19.5312,8,0.2487,9.0092
19.5312,9,0.1288,4.7633
19.5312,10,0.1609,2.1261
